min_ngram,max_ngram,l1_ratio,accuracy,precision,recall,f1,fbeta,tn, fp, fn, tp
1,3,0,0.7938257993384785,0.8659476117103235,0.8489425981873112,0.8573607932875668,0.8506129862267292,158,87,100,562
1,3,0.5,0.7232635060639471,0.863716814159292,0.7371601208459214,0.7954360228198859,0.7481220297409168,168,77,174,488
1,3,1,0.7353914002205072,0.885036496350365,0.7326283987915407,0.8016528925619835,0.7454657239471257,182,63,177,485
1,4,0,0.7938257993384785,0.8637059724349158,0.851963746223565,0.8577946768060837,0.8531235819089397,156,89,98,564
1,4,0.5,0.7155457552370452,0.8556338028169014,0.7341389728096677,0.7902439024390244,0.7447134538768004,163,82,176,486
1,4,1,0.721058434399118,0.8752293577981651,0.7205438066465257,0.7903893951946976,0.733507611871444,177,68,185,477
2,3,0,0.7894156560088202,0.8369098712446352,0.8836858006042296,0.8596620132255695,0.878774222622803,131,114,77,585
2,3,0.5,0.6934950385887542,0.8416370106761566,0.7145015105740181,0.7728758169934641,0.7254601226993865,156,89,189,473
2,3,1,0.6945975744211687,0.8443649373881932,0.7129909365558912,0.7731367731367731,0.7242596286634955,158,87,190,472
2,4,0,0.7927232635060639,0.8282548476454293,0.9033232628398792,0.8641618497109826,0.8952095808383234,121,124,64,598
2,4,0.5,0.6802646085997794,0.8309608540925267,0.7054380664652568,0.7630718954248366,0.7162576687116564,150,95,195,467
2,4,1,0.6747519294377067,0.829443447037702,0.6978851963746223,0.7579983593109105,0.7091327705295472,150,95,200,462